name,default_core_stat_id,1pc_bonus,2pc_bonus,3pc_bonus
5.11 Tactical,armor,stat:health:30%,stat:incoming-repairs:30%,stat:hazard-protection:30%
Badger Tuff,armor,stat:shotgun-damage:10%,stat:total-armor:5%,stat:armor-on-kill:15%
Belstone Armory,armor,stat:armor-regeneration:1%,stat:armor-on-kill:10%,stat:incoming-repairs:45%
Brazos de Arcabuz,armor,stat:skill-haste:10%,stat:skill-tier:1,stat:magazine-size:50%
Gila Guard,armor,stat:total-armor:5%,stat:health:60%,stat:armor-regeneration:2%
Improvised,armor,N/A,N/A,N/A
Golan Gear Ltd,armor,stat:status-effects:10%,stat:armor-regeneration:1.5%,stat:total-armor:10%
Habsburg Guard,armor,stat:headshot-damage:13%,stat:marksman-rifle-damage:20%,stat:status-effects:25%
Lengmo,armor,stat:explosive-resistance:20%,stat:skill-health:20%,stat:lmg-damage:30%
Palisade Steelworks,armor,stat:armor-on-kill:10%,stat:health:60%,stat:skill-tier:1
Uzina Getica,armor,stat:total-armor:5%,stat:armor-on-kill:10%,stat:hazard-protection:30%
Yaahl Gear,armor,stat:hazard-protection:10%,stat:weapon-damage:10%,stat:pulse-resistance:40%
Alps Summit Armaments,skill-tier,stat:repair-skills:18%,stat:skill-duration:30%,stat:skill-haste:30%
China Light Industries,skill-tier,stat:explosive-damage:15%,stat:skill-haste:20%,stat:status-effects:25%
Edelweiss GPz,skill-tier,stat:repair-skills:18%,stat:skill-haste:20%,stat:skill-efficiency:8%
Electrique,skill-tier,stat:status-effects:10%,stat:shock-resistance:20%,stat:smg-damage:30%
Empress International,skill-tier,stat:skill-health:10%,stat:skill-damage:10%,stat:skill-efficiency:8%
Hana-U Corporation,skill-tier,stat:skill-haste:10%,stat:skill-damage:10%,stat:weapon-damage:15%
Murakami Industries,skill-tier,stat:skill-duration:15%,stat:repair-skills:35%,stat:skill-damage:18%
Richter & Kaiser GmbH,skill-tier,stat:incoming-repairs:15%,stat:explosive-resistance:40%,stat:repair-skills:52%
Shiny Monkey,skill-tier,stat:skill-duration:15%,stat:skill-efficiency:5%,stat:repair-skills:52%
Wyvern Wear,skill-tier,stat:skill-damage:8%,stat:status-effects:18%,stat:skill-duration:45%
Airaldi Holdings,weapon-damage,stat:marksman-rifle-damage:10%,stat:headshot-damage:13%,stat:damage-to-armor:5%
Unit Alloys,weapon-damage,stat:rate-of-fire:5%,stat:assault-rifle-damage:20%,stat:magazine-size:50%
Ceska Vyroba s.r.o.,weapon-damage,stat:critical-hit-chance:8%,stat:hazard-protection:20%,stat:health:90%
Douglas & Harding,weapon-damage,stat:pistol-damage:20%,stat:stability:30%,stat:accuracy:50%
Fenris Group AB,weapon-damage,stat:assault-rifle-damage:10%,stat:reload-speed:30%,stat:stability:50%
Grupo Sombra S.A.,weapon-damage,stat:critical-hit-damage:13%,stat:explosive-damage:20%,stat:headshot-damage:13%
Imminence Armaments,weapon-damage,stat:weapon-damage:5%,stat:increased-threat:100%,stat:pistol-damage:60%
Legatus S.p.A,weapon-damage,stat:swap-speed:30%,stat:optimal-range:70%,stat:weapon-damage:15%
Overlord Armaments,weapon-damage,stat:rifle-damage:10%,stat:accuracy:30%,stat:weapon-handling:30%
Petrov Defense Group,weapon-damage,stat:lmg-damage:10%,stat:weapon-handling:15%,stat:ammo-capacity:50%
Providence Defense,weapon-damage,stat:headshot-damage:13%,stat:critical-hit-chance:8%,stat:critical-hit-damage:13%
Sokolov Concern,weapon-damage,stat:smg-damage:10%,stat:critical-hit-damage:13%,stat:critical-hit-chance:8%
Urban Lookout,weapon-damage,stat:accuracy:10%,stat:skill-duration:30%,stat:marksman-rifle-damage:30%
Royal Works,weapon-damage,stat:weapon-handling:5%,stat:magazine-size:32.5%,stat:critical-hit-damage:15%
"Walker, Harris & Co.",weapon-damage,stat:weapon-damage:5%,stat:damage-to-armor:5%,stat:health-damage:10%
Zwiadowka Sp. z o.o.,weapon-damage,stat:magazine-size:15%,stat:rifle-damage:20%,stat:weapon-handling:30%
